transaction_id,transaction_date,transaction_amount,sender_account,beneficiary_account
282,2024-02-20,802.6,497,441
283,2024-05-24,722.34,441,5
284,2024-05-24,794.57,5,660
285,2024-05-25,715.11,660,3
286,2024-08-06,793.22,572,450
287,2024-04-18,713.9,450,697
288,2024-07-26,785.29,697,789
289,2024-12-09,863.82,789,723
290,2024-07-19,777.44,723,572
291,2024-04-26,883.65,303,215
292,2024-09-19,795.28,215,681
293,2024-12-31,874.81,681,444
294,2024-01-22,787.33,444,342
295,2024-08-16,708.6,342,303
296,2024-04-04,521.66,22,42
297,2024-01-26,469.49,42,607
298,2024-06-02,516.44,607,246
299,2024-04-24,464.8,246,796
300,2024-11-04,418.32,796,22
301,2024-11-06,526.09,893,245
302,2024-12-26,578.7,245,300
303,2024-10-26,636.57,300,408
304,2024-06-13,572.91,408,656
305,2024-01-24,630.2,656,893
306,2024-09-09,1047.08,393,192
307,2024-02-11,1151.79,192,937
308,2024-10-12,1036.61,937,666
309,2024-12-12,1140.27,666,694
310,2024-12-08,1026.24,694,393
311,2024-11-04,178.19,819,456
312,2024-04-24,160.37,456,574
313,2024-09-19,144.33,574,198
314,2024-12-18,129.9,198,695
315,2024-10-13,142.89,695,819
316,2024-11-20,841.73,578,355
317,2024-02-27,757.56,355,205
318,2024-08-01,681.8,205,188
319,2024-03-07,749.98,188,621
320,2024-11-29,674.98,621,578
321,2024-05-09,858.63,606,891
322,2024-12-17,944.49,891,816
323,2024-05-30,850.04,816,34
324,2024-12-03,935.04,34,708
325,2024-05-10,1028.54,708,606
326,2024-10-31,259.64,795,122
327,2024-03-19,233.68,122,275
328,2024-01-28,210.31,275,320
329,2024-05-25,231.34,320,295
330,2024-04-25,254.47,295,795
331,2024-06-08,137.78,424,957
332,2024-03-22,124.0,957,740
333,2024-09-08,136.4,740,992
334,2024-12-05,122.76,992,169
335,2024-02-17,110.48,169,424
336,2024-12-30,543.46,796,42
337,2024-04-23,597.81,42,574
338,2024-05-20,538.03,574,751
339,2024-05-19,484.23,751,813
340,2024-12-22,532.65,813,796
341,2024-08-21,482.89,87,944
342,2024-01-31,434.6,944,481
343,2024-09-15,478.06,481,229
344,2024-12-14,430.25,229,860
345,2024-03-15,387.23,860,87
346,2024-02-08,470.86,646,241
347,2024-11-24,517.95,241,72
348,2024-03-22,466.16,72,582
349,2024-07-16,512.78,582,765
350,2024-02-04,564.06,765,646
351,2024-10-07,249.09,560,985
352,2024-08-04,224.18,985,182
353,2024-08-07,201.76,182,334
354,2024-07-10,221.94,334,938
355,2024-01-18,199.75,938,560
356,2024-02-01,553.81,895,648
357,2024-05-01,498.43,648,407
358,2024-08-18,548.27,407,202
359,2024-10-27,603.1,202,566
360,2024-05-23,542.79,566,895
361,2024-11-27,702.42,882,286
362,2024-09-24,772.66,286,749
363,2024-07-22,849.93,749,77
364,2024-09-29,764.94,77,465
365,2024-04-17,841.43,465,882
366,2024-04-24,500.0,311,856
367,2024-11-28,450.0,856,843
368,2024-11-10,495.0,843,885
369,2024-06-09,445.5,885,940
370,2024-10-18,400.95,940,311
371,2024-05-08,1039.53,62,725
372,2024-04-17,935.58,725,174
373,2024-11-19,842.02,174,562
374,2024-01-03,926.22,562,789
375,2024-03-12,833.6,789,62
376,2024-04-25,551.44,161,786
377,2024-06-01,496.3,786,589
378,2024-11-21,446.67,589,737
379,2024-05-29,402.0,737,919
380,2024-07-19,442.2,919,161
381,2024-08-17,518.35,134,197
382,2024-11-08,570.19,197,740
383,2024-07-23,513.17,740,236
384,2024-07-11,564.49,236,831
385,2024-02-18,620.94,831,134
386,2024-12-07,239.88,682,287
387,2024-07-30,215.89,287,868
388,2024-01-15,237.48,868,806
389,2024-06-17,261.23,806,465
390,2024-03-02,235.11,465,682
391,2024-06-30,696.22,928,930
392,2024-11-12,765.84,930,971
393,2024-03-30,689.26,971,929
394,2024-08-01,758.19,929,62
395,2024-05-09,834.01,62,928
396,2024-08-26,1017.83,570,706
397,2024-07-24,1119.61,706,36
398,2024-06-26,1007.65,36,699
399,2024-05-02,1108.41,699,658
400,2024-02-21,997.57,658,570
401,2024-05-15,340.45,931,966
402,2024-04-16,306.4,966,449
403,2024-02-16,337.04,449,971
404,2024-01-15,370.74,971,779
405,2024-09-20,407.81,779,931
406,2024-11-21,51.82,317,709
407,2024-12-13,57.0,709,306
408,2024-11-17,62.7,306,259
409,2024-01-30,68.97,259,548
410,2024-09-21,62.07,548,317
411,2024-01-10,746.53,516,502
412,2024-09-04,821.18,502,661
413,2024-08-18,903.3,661,719
414,2024-11-07,812.97,719,5
415,2024-06-05,731.67,5,516
416,2024-02-23,340.61,721,706
417,2024-06-04,306.55,706,595
418,2024-05-29,275.9,595,280
419,2024-06-07,303.49,280,590
420,2024-05-28,273.14,590,721
421,2024-04-21,436.6,438,38
422,2024-10-19,392.94,38,952
423,2024-01-06,353.65,952,264
424,2024-02-02,389.01,264,186
425,2024-06-22,350.11,186,438
426,2024-01-17,849.09,462,361
427,2024-02-14,934.0,361,205
428,2024-02-23,840.6,205,417
429,2024-05-24,756.54,417,489
430,2024-07-04,680.89,489,462
431,2024-08-02,492.29,622,236
432,2024-03-03,541.52,236,377
433,2024-07-05,595.67,377,605
434,2024-07-16,655.24,605,439
435,2024-08-09,720.76,439,622
436,2024-07-01,183.37,753,546
437,2024-03-25,165.03,546,409
438,2024-02-13,148.53,409,550
439,2024-07-11,133.68,550,878
440,2024-01-06,147.05,878,753
441,2024-08-26,230.0,603,11
442,2024-09-14,253.0,11,848
443,2024-05-09,227.7,848,51
444,2024-08-09,250.47,51,631
445,2024-12-23,225.42,631,603
446,2024-10-08,465.76,557,177
447,2024-04-13,419.18,177,509
448,2024-08-05,377.26,509,527
449,2024-07-01,339.53,527,172
450,2024-01-13,373.48,172,557
451,2024-05-17,530.77,507,656
452,2024-07-28,583.85,656,369
453,2024-02-26,525.47,369,636
454,2024-03-29,578.02,636,218
455,2024-12-10,635.82,218,507
456,2024-04-17,1087.3,948,926
457,2024-03-04,978.57,926,623
458,2024-08-08,1076.43,623,800
459,2024-11-30,968.79,800,811
460,2024-10-24,871.91,811,948
461,2024-06-21,616.28,626,765
462,2024-12-15,554.65,765,450
463,2024-09-06,499.19,450,713
464,2024-08-15,449.27,713,465
465,2024-01-24,404.34,465,626
466,2024-02-15,690.58,372,345
467,2024-03-29,759.64,345,295
468,2024-02-26,683.68,295,662
469,2024-04-21,615.31,662,488
470,2024-04-02,553.78,488,372
471,2024-06-26,875.29,859,694
472,2024-04-13,962.82,694,93
473,2024-01-26,1059.1,93,980
474,2024-12-29,1165.01,980,114
475,2024-12-23,1281.51,114,859
476,2024-07-09,291.48,41,97
477,2024-05-06,320.63,97,711
478,2024-12-01,352.69,711,992
479,2024-06-04,317.42,992,178
480,2024-05-03,349.16,178,41
481,2024-04-09,22.66,870,341
482,2024-03-24,20.39,341,387
483,2024-10-13,22.43,387,639
484,2024-01-29,24.67,639,25
485,2024-03-27,22.2,25,870
486,2024-06-12,664.32,949,472
487,2024-05-05,597.89,472,900
488,2024-10-27,657.68,900,647
489,2024-07-28,591.91,647,698
490,2024-05-26,532.72,698,949
491,2024-01-09,632.24,978,918
492,2024-08-23,695.46,918,941
493,2024-06-28,765.01,941,782
494,2024-06-14,841.51,782,837
495,2024-04-27,757.36,837,978
496,2024-11-08,161.12,806,274
497,2024-09-20,145.01,274,832
498,2024-03-20,130.51,832,153
499,2024-04-23,143.56,153,103
500,2024-06-30,157.92,103,806
501,2024-09-17,813.75,185,542
502,2024-11-12,895.13,542,725
503,2024-06-20,984.64,725,530
504,2024-02-18,886.18,530,529
505,2024-08-05,974.8,529,185
506,2024-05-11,764.34,652,211
507,2024-08-16,687.91,211,893
508,2024-05-22,619.12,893,724
509,2024-10-08,557.21,724,977
510,2024-05-27,501.49,977,652
511,2024-04-13,907.75,451,681
512,2024-10-27,998.53,681,876
513,2024-07-17,898.68,876,182
514,2024-08-01,988.55,182,581
515,2024-08-14,1087.4,581,451
516,2024-08-19,104.45,829,517
517,2024-12-09,94.01,517,691
518,2024-06-19,84.61,691,902
519,2024-09-29,93.07,902,987
520,2024-05-23,83.76,987,829
521,2024-09-24,397.97,319,276
522,2024-05-29,358.17,276,343
523,2024-05-19,393.99,343,100
524,2024-03-03,433.39,100,608
525,2024-09-13,476.73,608,319
526,2024-10-04,77.75,286,496
527,2024-12-05,69.98,496,336
528,2024-08-25,76.98,336,289
529,2024-07-03,84.68,289,877
530,2024-12-29,93.15,877,286
531,2024-01-31,669.58,415,814
532,2024-04-29,736.54,814,525
533,2024-09-24,662.89,525,765
534,2024-02-29,729.18,765,268
535,2024-01-14,656.26,268,415
536,2024-07-19,652.7,375,246
537,2024-08-06,587.43,246,127
538,2024-11-11,646.17,127,248
539,2024-02-05,581.55,248,411
540,2024-02-28,639.71,411,375
541,2024-03-30,254.46,518,640
542,2024-08-24,229.01,640,719
543,2024-07-09,206.11,719,574
544,2024-03-17,226.72,574,757
545,2024-12-16,249.39,757,518
546,2024-01-08,573.7,846,958
547,2024-03-04,516.33,958,988
548,2024-01-09,567.96,988,743
549,2024-08-14,624.76,743,189
550,2024-06-02,562.28,189,846
551,2024-09-08,528.38,321,429
552,2024-02-10,581.22,429,257
553,2024-01-18,639.34,257,104
554,2024-11-24,575.41,104,334
555,2024-04-29,517.87,334,321
556,2024-07-28,971.04,597,653
557,2024-05-19,1068.14,653,910
558,2024-10-22,1174.95,910,266
559,2024-03-05,1057.46,266,76
560,2024-06-08,1163.21,76,597
561,2024-10-10,35.63,669,76
562,2024-08-14,32.07,76,485
563,2024-03-29,35.28,485,771
564,2024-04-29,38.81,771,469
565,2024-06-06,34.93,469,669
566,2024-11-08,151.1,899,377
567,2024-12-09,135.99,377,41
568,2024-05-21,122.39,41,870
569,2024-11-29,134.63,870,516
570,2024-02-21,121.17,516,899
571,2024-01-22,1010.93,956,240
572,2024-03-07,909.84,240,141
573,2024-12-23,818.86,141,489
574,2024-04-06,736.97,489,897
575,2024-12-30,810.67,897,956
576,2024-06-30,434.5,311,134
577,2024-04-11,477.95,134,932
578,2024-03-09,430.15,932,477
579,2024-08-25,473.17,477,276
580,2024-12-18,520.49,276,311
581,2024-12-18,539.86,327,556
582,2024-06-14,485.87,556,310
583,2024-05-18,534.46,310,551
584,2024-06-07,587.91,551,74
585,2024-01-20,529.12,74,327
586,2024-06-28,472.8,830,261
587,2024-08-06,520.08,261,33
588,2024-10-22,572.09,33,166
589,2024-08-06,514.88,166,953
590,2024-10-09,566.37,953,830
591,2024-07-19,272.56,876,723
592,2024-12-01,245.3,723,534
593,2024-04-01,220.77,534,384
594,2024-05-22,198.69,384,638
595,2024-04-28,178.82,638,876
596,2024-08-02,264.89,80,940
597,2024-07-13,291.38,940,536
598,2024-05-26,320.52,536,762
599,2024-03-13,288.47,762,836
600,2024-08-18,317.32,836,80
601,2024-10-09,1088.34,203,360
602,2024-01-14,1197.17,360,4
603,2024-01-06,1077.45,4,861
604,2024-07-02,1185.2,861,441
605,2024-06-18,1066.68,441,203
606,2024-03-07,571.62,191,485
607,2024-11-21,514.46,485,404
608,2024-07-08,565.91,404,621
609,2024-05-26,622.5,621,306
610,2024-07-14,684.75,306,191
611,2024-11-10,661.13,490,137
612,2024-07-15,595.02,137,497
613,2024-03-15,654.52,497,160
614,2024-05-02,719.97,160,688
615,2024-12-20,647.97,688,490
616,2024-02-13,792.21,975,273
617,2024-04-21,871.43,273,633
618,2024-02-15,784.29,633,486
619,2024-11-19,705.86,486,925
620,2024-02-06,635.27,925,975
621,2024-01-20,810.06,192,78
622,2024-01-20,729.05,78,63
623,2024-03-23,656.14,63,419
624,2024-09-20,590.53,419,237
625,2024-05-01,649.58,237,192
626,2024-07-12,683.52,57,518
627,2024-07-18,751.87,518,999
628,2024-10-17,676.68,999,657
629,2024-05-11,609.01,657,189
630,2024-02-02,669.91,189,57
631,2024-02-13,359.29,673,438
632,2024-07-13,395.22,438,210
633,2024-11-03,355.7,210,811
634,2024-01-26,391.27,811,228
635,2024-04-25,352.14,228,673
636,2024-12-06,886.39,867,460
637,2024-01-21,797.75,460,889
638,2024-03-26,877.53,889,285
639,2024-11-01,965.28,285,370
640,2024-06-15,868.75,370,867
641,2024-09-25,370.83,312,582
642,2024-05-02,333.75,582,330
643,2024-04-15,367.13,330,655
644,2024-10-27,403.84,655,204
645,2024-01-26,363.46,204,312
646,2024-02-28,635.95,523,707
647,2024-06-21,699.55,707,339
648,2024-07-12,629.6,339,686
649,2024-02-17,692.56,686,919
650,2024-05-31,623.3,919,523
651,2024-01-18,117.43,798,552
652,2024-05-03,105.69,552,704
653,2024-08-26,116.26,704,905
654,2024-07-04,104.63,905,412
655,2024-07-19,115.09,412,798
656,2024-08-10,365.63,986,166
657,2024-10-26,329.07,166,41
658,2024-04-20,296.16,41,983
659,2024-02-12,266.54,983,993
660,2024-01-29,293.19,993,986
661,2024-05-19,68.6,606,535
662,2024-11-29,61.74,535,594
663,2024-09-29,55.57,594,717
664,2024-03-10,61.13,717,9
665,2024-01-08,67.24,9,606
666,2024-12-01,491.18,85,151
667,2024-08-16,540.3,151,521
668,2024-03-05,594.33,521,848
669,2024-10-28,653.76,848,335
670,2024-05-23,588.38,335,85
671,2024-07-23,846.61,317,26
672,2024-04-15,761.95,26,959
673,2024-08-31,838.15,959,196
674,2024-03-02,921.97,196,706
675,2024-10-10,1014.17,706,317
676,2024-03-08,402.75,248,58
677,2024-09-07,443.03,58,162
678,2024-02-15,487.33,162,567
679,2024-07-19,438.6,567,648
680,2024-06-10,394.74,648,248
681,2024-04-19,929.23,416,546
682,2024-07-29,836.31,546,440
683,2024-09-14,752.68,440,155
684,2024-09-06,677.41,155,728
685,2024-03-03,745.15,728,416
686,2024-12-12,159.94,558,849
687,2024-04-03,143.95,849,954
688,2024-07-15,129.56,954,328
689,2024-04-22,142.52,328,787
690,2024-10-30,156.77,787,558
691,2024-02-08,547.08,538,973
692,2024-01-09,601.79,973,360
693,2024-10-05,541.61,360,85
694,2024-06-23,595.77,85,281
695,2024-06-20,536.19,281,538
696,2024-03-11,206.08,572,433
697,2024-12-23,185.47,433,793
698,2024-10-30,166.92,793,640
699,2024-11-03,150.23,640,195
700,2024-03-22,135.21,195,572
701,2024-01-16,905.27,904,953
702,2024-04-02,814.74,953,670
703,2024-10-30,733.27,670,129
704,2024-10-23,806.6,129,320
705,2024-11-04,887.26,320,904
706,2024-03-02,412.39,529,202
707,2024-08-15,453.63,202,173
708,2024-05-13,498.99,173,197
709,2024-12-30,449.09,197,947
710,2024-06-22,494.0,947,529
711,2024-11-28,756.58,838,349
712,2024-09-22,680.92,349,530
713,2024-05-28,612.83,530,503
714,2024-04-19,674.11,503,804
715,2024-09-12,606.7,804,838
716,2024-11-23,520.7,977,335
717,2024-10-27,572.77,335,349
718,2024-07-08,515.49,349,2
719,2024-03-22,463.94,2,573
720,2024-01-27,417.55,573,977
721,2024-08-03,957.21,722,609
722,2024-11-12,861.49,609,505
723,2024-03-31,947.64,505,749
724,2024-02-07,1042.4,749,739
725,2024-05-04,938.16,739,722
726,2024-12-20,50.78,644,864
727,2024-05-31,55.86,864,943
728,2024-12-05,61.45,943,457
729,2024-06-17,67.6,457,615
730,2024-12-18,74.36,615,644
731,2024-07-17,248.14,277,243
732,2024-11-27,272.95,243,551
733,2024-07-17,245.66,551,488
734,2024-09-26,221.09,488,897
735,2024-11-04,243.2,897,277
736,2024-05-22,56.57,363,921
737,2024-02-26,62.23,921,743
738,2024-06-01,68.45,743,315
739,2024-11-06,75.3,315,812
740,2024-04-12,67.77,812,363
741,2024-07-25,887.7,372,808
742,2024-03-21,976.47,808,543
743,2024-04-03,1074.12,543,550
744,2024-01-18,1181.53,550,758
745,2024-11-10,1299.68,758,372
746,2024-02-21,574.01,605,854
747,2024-01-26,631.41,854,374
748,2024-07-21,568.27,374,770
749,2024-05-23,511.44,770,141
750,2024-03-14,562.58,141,605
751,2024-12-30,779.11,439,678
752,2024-10-31,701.2,678,896
753,2024-06-05,631.08,896,53
754,2024-06-07,694.19,53,420
755,2024-11-25,624.77,420,439
756,2024-08-07,251.94,921,171
757,2024-08-17,277.13,171,447
758,2024-12-28,304.84,447,744
759,2024-11-09,335.32,744,874
760,2024-01-12,368.85,874,921
761,2024-06-27,842.6,838,870
762,2024-09-14,758.34,870,383
763,2024-11-22,682.51,383,504
764,2024-09-03,750.76,504,846
765,2024-02-08,675.68,846,838
766,2024-12-23,852.61,89,42
767,2024-12-15,937.87,42,103
768,2024-09-19,844.08,103,175
769,2024-11-21,928.49,175,139
770,2024-05-21,835.64,139,89
771,2024-11-10,690.28,943,135
772,2024-10-19,759.31,135,247
773,2024-11-09,835.24,247,479
774,2024-11-03,751.72,479,659
775,2024-08-24,826.89,659,943
776,2024-05-12,749.56,982,700
777,2024-04-03,674.6,700,848
778,2024-11-28,742.06,848,7
779,2024-07-22,667.85,7,335
780,2024-02-13,734.64,335,982
781,2024-07-29,140.88,8,636
782,2024-11-21,126.79,636,151
783,2024-11-08,139.47,151,894
784,2024-02-25,153.42,894,66
785,2024-12-16,168.76,66,8
786,2024-05-28,492.81,111,502
787,2024-06-15,443.53,502,188
788,2024-05-24,399.18,188,460
789,2024-09-01,439.1,460,107
790,2024-09-07,483.01,107,111
791,2024-11-20,533.14,966,466
792,2024-05-26,479.83,466,656
793,2024-10-17,431.85,656,334
794,2024-05-20,475.04,334,299
795,2024-03-13,427.54,299,966
796,2024-03-09,519.05,605,473
797,2024-07-17,467.14,473,984
798,2024-03-21,420.43,984,321
799,2024-08-22,378.39,321,288
800,2024-03-08,340.55,288,605
801,2024-08-03,223.42,96,921
802,2024-09-30,201.08,921,678
803,2024-02-28,180.97,678,459
804,2024-05-12,199.07,459,569
805,2024-01-26,179.16,569,96
806,2024-10-23,393.17,382,532
807,2024-08-01,353.85,532,348
808,2024-07-01,318.47,348,494
809,2024-04-26,286.62,494,277
810,2024-10-30,257.96,277,382
811,2024-06-27,884.53,93,822
812,2024-10-29,796.08,822,98
813,2024-10-29,875.69,98,780
814,2024-08-17,963.26,780,11
815,2024-09-07,1059.59,11,93
816,2024-01-12,748.53,510,571
817,2024-10-05,673.68,571,691
