Date,Amount,Sender,Receiver
2024-09-02,113.01,938,559
2024-03-14,101.71,559,788
2024-06-06,111.88,788,152
2024-04-13,344.84,123,130
2024-07-24,310.36,130,722
2024-08-12,279.32,722,741
2024-02-17,251.39,741,708
2024-09-11,276.53,708,123
2024-05-02,952.13,640,754
2024-12-08,1047.34,754,221
2024-06-07,942.61,221,72
2024-12-21,848.35,72,219
2024-05-10,763.51,219,640
2024-03-30,764.1,787,714
2024-02-17,840.51,714,393
2024-02-04,756.46,393,184
2024-06-04,832.11,184,607
2024-08-31,915.32,607,787
2024-12-03,262.15,493,124
2024-08-26,288.37,124,468
2024-07-09,317.21,468,580
2024-07-15,285.49,580,679
2024-04-25,256.94,679,493
2024-06-01,210.46,430,970
2024-05-25,231.51,970,965
2024-07-30,254.66,965,325
2024-06-29,229.19,325,433
2024-09-18,252.11,433,430
2024-12-16,30.94,361,314
2024-01-26,27.85,314,823
2024-05-03,25.07,823,515
2024-04-14,22.56,515,266
2024-10-11,20.3,266,361
2024-11-17,773.12,833,575
2024-12-17,695.81,575,157
2024-05-31,626.23,157,153
2024-03-30,688.85,153,848
2024-12-28,757.74,848,833
2024-11-09,349.76,37,573
2024-06-20,384.74,573,318
2024-12-31,423.21,318,902
2024-09-29,465.53,902,192
2024-03-03,418.98,192,37
2024-03-30,22.63,758,67
2024-10-24,20.37,67,212
2024-10-05,22.41,212,580
2024-01-18,20.17,580,299
2024-02-19,22.19,299,758
2024-09-16,449.82,458,37
2024-04-09,404.84,37,10
2024-08-16,364.36,10,936
2024-10-15,400.8,936,222
2024-10-23,440.88,222,458
2024-05-05,732.98,172,967
2024-05-01,806.28,967,860
2024-04-14,886.91,860,951
2024-12-18,798.22,951,293
2024-07-25,718.4,293,172
2024-07-10,622.72,935,5
2024-12-03,560.45,5,489
2024-12-01,616.5,489,837
2024-05-28,554.85,837,740
2024-10-13,499.37,740,935
2024-03-02,903.64,561,851
2024-11-06,994.0,851,753
2024-07-29,894.6,753,292
2024-12-10,984.06,292,991
2024-10-12,1082.47,991,561
2024-02-14,146.12,85,797
2024-04-25,131.51,797,182
2024-08-25,118.36,182,678
2024-07-31,106.52,678,792
2024-08-14,95.87,792,85
2024-02-14,89.01,137,218
2024-12-09,97.91,218,158
2024-03-18,88.12,158,630
2024-02-23,79.31,630,604
2024-05-24,87.24,604,137
2024-08-29,800.71,772,856
2024-07-14,720.64,856,610
2024-03-29,648.58,610,450
2024-11-18,583.72,450,799
2024-11-06,525.35,799,772
2024-12-30,999.05,723,26
2024-06-02,1098.95,26,397
2024-12-30,989.06,397,178
2024-10-13,890.15,178,805
2024-10-18,801.13,805,723
2024-05-30,234.28,178,599
2024-10-06,210.85,599,946
2024-06-15,189.76,946,840
2024-06-06,170.78,840,270
2024-12-01,187.86,270,178
2024-02-04,389.66,427,891
2024-01-27,350.69,891,219
2024-02-04,315.62,219,5
2024-03-03,347.18,5,445
2024-09-15,381.9,445,427
2024-05-25,569.43,579,631
2024-02-24,512.49,631,586
2024-02-24,461.24,586,813
2024-03-16,415.12,813,794
2024-01-08,456.63,794,579
2024-01-16,655.24,790,356
2024-05-20,589.72,356,30
2024-11-03,530.75,30,771
2024-07-25,477.68,771,726
2024-11-13,525.45,726,790
2024-05-04,837.02,852,467
2024-02-13,920.72,467,766
2024-02-28,828.65,766,882
2024-09-27,911.52,882,419
2024-06-05,820.37,419,852
2024-04-30,916.12,355,775
2024-12-15,824.51,775,658
2024-01-04,742.06,658,481
2024-04-09,667.85,481,850
2024-06-14,601.07,850,355
2024-02-19,632.45,256,593
2024-07-14,695.7,593,291
2024-10-28,765.27,291,555
2024-12-29,688.74,555,2
2024-01-25,757.61,2,256
2024-06-29,570.75,284,441
2024-03-08,513.68,441,845
2024-01-11,462.31,845,726
2024-09-08,508.54,726,972
2024-08-03,457.69,972,284
2024-09-09,913.13,538,90
2024-12-20,821.82,90,966
2024-01-23,904.0,966,769
2024-12-14,994.4,769,656
2024-11-14,1093.84,656,538
2024-02-04,708.26,784,328
2024-01-18,637.43,328,26
2024-02-08,573.69,26,346
2024-08-18,631.06,346,187
2024-12-24,694.17,187,784
2024-01-13,360.64,666,57
2024-02-29,324.58,57,158
2024-10-11,357.04,158,529
2024-06-15,321.34,529,248
2024-04-30,289.21,248,666
2024-04-13,114.26,122,456
2024-08-17,125.69,456,130
2024-05-27,138.26,130,108
2024-10-31,152.09,108,893
2024-09-10,167.3,893,122
2024-04-18,302.05,646,273
2024-01-03,271.85,273,959
2024-10-02,299.04,959,655
2024-05-22,269.14,655,26
2024-11-18,242.23,26,646
2024-09-24,464.09,855,186
2024-08-08,510.5,186,177
2024-06-12,561.55,177,234
2024-03-31,505.39,234,988
2024-09-12,555.93,988,855
2024-10-30,584.79,443,397
2024-10-17,643.27,397,111
2024-09-12,578.94,111,360
2024-12-21,636.83,360,710
2024-04-21,573.15,710,443
2024-11-14,374.35,38,913
2024-09-27,336.92,913,379
2024-01-04,303.23,379,128
2024-06-16,333.55,128,309
2024-05-29,300.19,309,38
2024-04-08,600.96,866,483
2024-03-07,661.06,483,63
2024-04-03,594.95,63,803
2024-05-21,535.46,803,658
2024-12-27,481.91,658,866
2024-07-17,110.25,193,522
2024-07-06,121.28,522,265
2024-10-16,133.41,265,191
2024-03-09,120.07,191,110
2024-05-30,132.08,110,193
2024-06-11,754.78,81,388
2024-12-10,679.3,388,561
2024-03-29,611.37,561,692
2024-05-08,550.23,692,801
2024-03-23,605.25,801,81
2024-11-10,316.22,107,36
2024-04-12,347.84,36,71
2024-01-25,382.62,71,570
2024-02-20,420.88,570,509
2024-10-26,378.79,509,107
2024-12-09,733.13,610,820
2024-08-27,659.82,820,645
2024-01-28,593.84,645,238
2024-09-30,534.46,238,908
2024-03-23,587.91,908,610
2024-04-12,205.88,205,976
2024-04-17,185.29,976,192
2024-02-15,166.76,192,698
2024-08-24,183.44,698,525
2024-11-08,165.1,525,205
2024-07-30,515.9,725,569
2024-05-31,464.31,569,51
2024-03-30,417.88,51,726
2024-03-20,459.67,726,435
2024-01-16,505.64,435,725
2024-01-01,253.63,785,741
2024-08-23,228.27,741,254
2024-01-18,251.1,254,569
2024-08-01,276.21,569,373
2024-10-19,303.83,373,785
2024-10-21,89.88,914,45
2024-11-01,80.89,45,951
2024-11-07,88.98,951,693
2024-01-26,97.88,693,448
2024-12-10,88.09,448,914
2024-02-24,891.78,3,497
2024-02-20,802.6,497,441
2024-05-24,722.34,441,5
2024-05-24,794.57,5,660
2024-05-25,715.11,660,3
2024-08-06,793.22,572,450
2024-04-18,713.9,450,697
2024-07-26,785.29,697,789
2024-12-09,863.82,789,723
2024-07-19,777.44,723,572
2024-04-26,883.65,303,215
2024-09-19,795.28,215,681
2024-12-31,874.81,681,444
2024-01-22,787.33,444,342
2024-08-16,708.6,342,303
2024-04-04,521.66,22,42
2024-01-26,469.49,42,607
2024-06-02,516.44,607,246
2024-04-24,464.8,246,796
2024-11-04,418.32,796,22
2024-11-06,526.09,893,245
2024-12-26,578.7,245,300
2024-10-26,636.57,300,408
2024-06-13,572.91,408,656
2024-01-24,630.2,656,893
2024-09-09,1047.08,393,192
2024-02-11,1151.79,192,937
2024-10-12,1036.61,937,666
2024-12-12,1140.27,666,694
2024-12-08,1026.24,694,393
2024-11-04,178.19,819,456
2024-04-24,160.37,456,574
2024-09-19,144.33,574,198
2024-12-18,129.9,198,695
2024-10-13,142.89,695,819
2024-11-20,841.73,578,355
2024-02-27,757.56,355,205
2024-08-01,681.8,205,188
2024-03-07,749.98,188,621
2024-11-29,674.98,621,578
2024-05-09,858.63,606,891
2024-12-17,944.49,891,816
2024-05-30,850.04,816,34
2024-12-03,935.04,34,708
2024-05-10,1028.54,708,606
2024-10-31,259.64,795,122
2024-03-19,233.68,122,275
2024-01-28,210.31,275,320
2024-05-25,231.34,320,295
2024-04-25,254.47,295,795
2024-06-08,137.78,424,957
2024-03-22,124.0,957,740
2024-09-08,136.4,740,992
2024-12-05,122.76,992,169
2024-02-17,110.48,169,424
2024-12-30,543.46,796,42
2024-04-23,597.81,42,574
2024-05-20,538.03,574,751
2024-05-19,484.23,751,813
2024-12-22,532.65,813,796
2024-08-21,482.89,87,944
2024-01-31,434.6,944,481
2024-09-15,478.06,481,229
2024-12-14,430.25,229,860
2024-03-15,387.23,860,87
2024-02-08,470.86,646,241
2024-11-24,517.95,241,72
2024-03-22,466.16,72,582
2024-07-16,512.78,582,765
2024-02-04,564.06,765,646
2024-10-07,249.09,560,985
2024-08-04,224.18,985,182
2024-08-07,201.76,182,334
2024-07-10,221.94,334,938
2024-01-18,199.75,938,560
2024-02-01,553.81,895,648
2024-05-01,498.43,648,407
2024-08-18,548.27,407,202
2024-10-27,603.1,202,566
2024-05-23,542.79,566,895
2024-11-27,702.42,882,286
2024-09-24,772.66,286,749
2024-07-22,849.93,749,77
2024-09-29,764.94,77,465
2024-04-17,841.43,465,882
2024-04-24,500.0,311,856
2024-11-28,450.0,856,843
2024-11-10,495.0,843,885
2024-06-09,445.5,885,940
2024-10-18,400.95,940,311
2024-05-08,1039.53,62,725
2024-04-17,935.58,725,174
2024-11-19,842.02,174,562
2024-01-03,926.22,562,789
2024-03-12,833.6,789,62
2024-04-25,551.44,161,786
2024-06-01,496.3,786,589
2024-11-21,446.67,589,737
2024-05-29,402.0,737,919
2024-07-19,442.2,919,161
2024-08-17,518.35,134,197
2024-11-08,570.19,197,740
2024-07-23,513.17,740,236
2024-07-11,564.49,236,831
2024-02-18,620.94,831,134
2024-12-07,239.88,682,287
2024-07-30,215.89,287,868
2024-01-15,237.48,868,806
2024-06-17,261.23,806,465
2024-03-02,235.11,465,682
2024-06-30,696.22,928,930
2024-11-12,765.84,930,971
2024-03-30,689.26,971,929
2024-08-01,758.19,929,62
2024-05-09,834.01,62,928
2024-08-26,1017.83,570,706
2024-07-24,1119.61,706,36
2024-06-26,1007.65,36,699
2024-05-02,1108.41,699,658
2024-02-21,997.57,658,570
2024-05-15,340.45,931,966
2024-04-16,306.4,966,449
2024-02-16,337.04,449,971
2024-01-15,370.74,971,779
2024-09-20,407.81,779,931
2024-11-21,51.82,317,709
2024-12-13,57.0,709,306
2024-11-17,62.7,306,259
2024-01-30,68.97,259,548
2024-09-21,62.07,548,317
2024-01-10,746.53,516,502
2024-09-04,821.18,502,661
2024-08-18,903.3,661,719
2024-11-07,812.97,719,5
2024-06-05,731.67,5,516
2024-02-23,340.61,721,706
2024-06-04,306.55,706,595
2024-05-29,275.9,595,280
2024-06-07,303.49,280,590
2024-05-28,273.14,590,721
2024-04-21,436.6,438,38
2024-10-19,392.94,38,952
2024-01-06,353.65,952,264
2024-02-02,389.01,264,186
2024-06-22,350.11,186,438
2024-01-17,849.09,462,361
2024-02-14,934.0,361,205
2024-02-23,840.6,205,417
2024-05-24,756.54,417,489
2024-07-04,680.89,489,462
2024-08-02,492.29,622,236
2024-03-03,541.52,236,377
2024-07-05,595.67,377,605
2024-07-16,655.24,605,439
2024-08-09,720.76,439,622
2024-07-01,183.37,753,546
2024-03-25,165.03,546,409
2024-02-13,148.53,409,550
2024-07-11,133.68,550,878
2024-01-06,147.05,878,753
2024-08-26,230.0,603,11
2024-09-14,253.0,11,848
2024-05-09,227.7,848,51
2024-08-09,250.47,51,631
2024-12-23,225.42,631,603
2024-10-08,465.76,557,177
2024-04-13,419.18,177,509
2024-08-05,377.26,509,527
2024-07-01,339.53,527,172
2024-01-13,373.48,172,557
2024-05-17,530.77,507,656
2024-07-28,583.85,656,369
2024-02-26,525.47,369,636
2024-03-29,578.02,636,218
2024-12-10,635.82,218,507
2024-04-17,1087.3,948,926
2024-03-04,978.57,926,623
2024-08-08,1076.43,623,800
2024-11-30,968.79,800,811
2024-10-24,871.91,811,948
2024-06-21,616.28,626,765
2024-12-15,554.65,765,450
2024-09-06,499.19,450,713
2024-08-15,449.27,713,465
2024-01-24,404.34,465,626
2024-02-15,690.58,372,345
2024-03-29,759.64,345,295
2024-02-26,683.68,295,662
2024-04-21,615.31,662,488
2024-04-02,553.78,488,372
2024-06-26,875.29,859,694
2024-04-13,962.82,694,93
2024-01-26,1059.1,93,980
2024-12-29,1165.01,980,114
2024-12-23,1281.51,114,859
2024-07-09,291.48,41,97
2024-05-06,320.63,97,711
2024-12-01,352.69,711,992
2024-06-04,317.42,992,178
2024-05-03,349.16,178,41
2024-04-09,22.66,870,341
2024-03-24,20.39,341,387
2024-10-13,22.43,387,639
2024-01-29,24.67,639,25
2024-03-27,22.2,25,870
2024-06-12,664.32,949,472
2024-05-05,597.89,472,900
2024-10-27,657.68,900,647
2024-07-28,591.91,647,698
2024-05-26,532.72,698,949
2024-01-09,632.24,978,918
2024-08-23,695.46,918,941
2024-06-28,765.01,941,782
2024-06-14,841.51,782,837
2024-04-27,757.36,837,978
2024-11-08,161.12,806,274
2024-09-20,145.01,274,832
2024-03-20,130.51,832,153
2024-04-23,143.56,153,103
2024-06-30,157.92,103,806
2024-09-17,813.75,185,542
2024-11-12,895.13,542,725
2024-06-20,984.64,725,530
2024-02-18,886.18,530,529
2024-08-05,974.8,529,185
2024-05-11,764.34,652,211
2024-08-16,687.91,211,893
2024-05-22,619.12,893,724
2024-10-08,557.21,724,977
2024-05-27,501.49,977,652
2024-04-13,907.75,451,681
2024-10-27,998.53,681,876
2024-07-17,898.68,876,182
2024-08-01,988.55,182,581
2024-08-14,1087.4,581,451
2024-08-19,104.45,829,517
2024-12-09,94.01,517,691
2024-06-19,84.61,691,902
2024-09-29,93.07,902,987
2024-05-23,83.76,987,829
2024-09-24,397.97,319,276
2024-05-29,358.17,276,343
2024-05-19,393.99,343,100
2024-03-03,433.39,100,608
2024-09-13,476.73,608,319
2024-10-04,77.75,286,496
2024-12-05,69.98,496,336
2024-08-25,76.98,336,289
2024-07-03,84.68,289,877
2024-12-29,93.15,877,286
2024-01-31,669.58,415,814
2024-04-29,736.54,814,525
2024-09-24,662.89,525,765
2024-02-29,729.18,765,268
2024-01-14,656.26,268,415
2024-07-19,652.7,375,246
2024-08-06,587.43,246,127
2024-11-11,646.17,127,248
2024-02-05,581.55,248,411
2024-02-28,639.71,411,375
2024-03-30,254.46,518,640
2024-08-24,229.01,640,719
2024-07-09,206.11,719,574
2024-03-17,226.72,574,757
2024-12-16,249.39,757,518
2024-01-08,573.7,846,958
2024-03-04,516.33,958,988
2024-01-09,567.96,988,743
2024-08-14,624.76,743,189
2024-06-02,562.28,189,846
2024-09-08,528.38,321,429
2024-02-10,581.22,429,257
2024-01-18,639.34,257,104
2024-11-24,575.41,104,334
2024-04-29,517.87,334,321
2024-07-28,971.04,597,653
2024-05-19,1068.14,653,910
2024-10-22,1174.95,910,266
2024-03-05,1057.46,266,76
2024-06-08,1163.21,76,597
2024-10-10,35.63,669,76
2024-08-14,32.07,76,485
2024-03-29,35.28,485,771
2024-04-29,38.81,771,469
2024-06-06,34.93,469,669
2024-11-08,151.1,899,377
2024-12-09,135.99,377,41
2024-05-21,122.39,41,870
2024-11-29,134.63,870,516
2024-02-21,121.17,516,899
2024-01-22,1010.93,956,240
2024-03-07,909.84,240,141
2024-12-23,818.86,141,489
2024-04-06,736.97,489,897
2024-12-30,810.67,897,956
2024-06-30,434.5,311,134
2024-04-11,477.95,134,932
2024-03-09,430.15,932,477
2024-08-25,473.17,477,276
2024-12-18,520.49,276,311
2024-12-18,539.86,327,556
2024-06-14,485.87,556,310
2024-05-18,534.46,310,551
2024-06-07,587.91,551,74
2024-01-20,529.12,74,327
2024-06-28,472.8,830,261
2024-08-06,520.08,261,33
2024-10-22,572.09,33,166
2024-08-06,514.88,166,953
2024-10-09,566.37,953,830
2024-07-19,272.56,876,723
2024-12-01,245.3,723,534
2024-04-01,220.77,534,384
2024-05-22,198.69,384,638
2024-04-28,178.82,638,876
2024-08-02,264.89,80,940
2024-07-13,291.38,940,536
2024-05-26,320.52,536,762
2024-03-13,288.47,762,836
2024-08-18,317.32,836,80
2024-10-09,1088.34,203,360
2024-01-14,1197.17,360,4
2024-01-06,1077.45,4,861
2024-07-02,1185.2,861,441
2024-06-18,1066.68,441,203
2024-03-07,571.62,191,485
2024-11-21,514.46,485,404
2024-07-08,565.91,404,621
2024-05-26,622.5,621,306
2024-07-14,684.75,306,191
2024-11-10,661.13,490,137
2024-07-15,595.02,137,497
2024-03-15,654.52,497,160
2024-05-02,719.97,160,688
2024-12-20,647.97,688,490
2024-02-13,792.21,975,273
2024-04-21,871.43,273,633
2024-02-15,784.29,633,486
2024-11-19,705.86,486,925
2024-02-06,635.27,925,975
2024-01-20,810.06,192,78
2024-01-20,729.05,78,63
2024-03-23,656.14,63,419
2024-09-20,590.53,419,237
2024-05-01,649.58,237,192
2024-07-12,683.52,57,518
2024-07-18,751.87,518,999
2024-10-17,676.68,999,657
2024-05-11,609.01,657,189
2024-02-02,669.91,189,57
2024-02-13,359.29,673,438
2024-07-13,395.22,438,210
2024-11-03,355.7,210,811
2024-01-26,391.27,811,228
2024-04-25,352.14,228,673
2024-12-06,886.39,867,460
2024-01-21,797.75,460,889
2024-03-26,877.53,889,285
2024-11-01,965.28,285,370
2024-06-15,868.75,370,867
2024-09-25,370.83,312,582
2024-05-02,333.75,582,330
2024-04-15,367.13,330,655
2024-10-27,403.84,655,204
2024-01-26,363.46,204,312
2024-02-28,635.95,523,707
2024-06-21,699.55,707,339
2024-07-12,629.6,339,686
2024-02-17,692.56,686,919
2024-05-31,623.3,919,523
2024-01-18,117.43,798,552
2024-05-03,105.69,552,704
2024-08-26,116.26,704,905
2024-07-04,104.63,905,412
2024-07-19,115.09,412,798
2024-08-10,365.63,986,166
2024-10-26,329.07,166,41
2024-04-20,296.16,41,983
2024-02-12,266.54,983,993
2024-01-29,293.19,993,986
2024-05-19,68.6,606,535
2024-11-29,61.74,535,594
2024-09-29,55.57,594,717
2024-03-10,61.13,717,9
2024-01-08,67.24,9,606
2024-12-01,491.18,85,151
2024-08-16,540.3,151,521
2024-03-05,594.33,521,848
2024-10-28,653.76,848,335
2024-05-23,588.38,335,85
2024-07-23,846.61,317,26
2024-04-15,761.95,26,959
2024-08-31,838.15,959,196
2024-03-02,921.97,196,706
2024-10-10,1014.17,706,317
2024-03-08,402.75,248,58
2024-09-07,443.03,58,162
2024-02-15,487.33,162,567
2024-07-19,438.6,567,648
2024-06-10,394.74,648,248
2024-04-19,929.23,416,546
2024-07-29,836.31,546,440
2024-09-14,752.68,440,155
2024-09-06,677.41,155,728
2024-03-03,745.15,728,416
2024-12-12,159.94,558,849
2024-04-03,143.95,849,954
2024-07-15,129.56,954,328
2024-04-22,142.52,328,787
2024-10-30,156.77,787,558
2024-02-08,547.08,538,973
2024-01-09,601.79,973,360
2024-10-05,541.61,360,85
2024-06-23,595.77,85,281
2024-06-20,536.19,281,538
2024-03-11,206.08,572,433
2024-12-23,185.47,433,793
2024-10-30,166.92,793,640
2024-11-03,150.23,640,195
2024-03-22,135.21,195,572
2024-01-16,905.27,904,953
2024-04-02,814.74,953,670
2024-10-30,733.27,670,129
2024-10-23,806.6,129,320
2024-11-04,887.26,320,904
2024-03-02,412.39,529,202
2024-08-15,453.63,202,173
2024-05-13,498.99,173,197
2024-12-30,449.09,197,947
2024-06-22,494.0,947,529
2024-11-28,756.58,838,349
2024-09-22,680.92,349,530
2024-05-28,612.83,530,503
2024-04-19,674.11,503,804
2024-09-12,606.7,804,838
2024-11-23,520.7,977,335
2024-10-27,572.77,335,349
2024-07-08,515.49,349,2
2024-03-22,463.94,2,573
2024-01-27,417.55,573,977
2024-08-03,957.21,722,609
2024-11-12,861.49,609,505
2024-03-31,947.64,505,749
2024-02-07,1042.4,749,739
2024-05-04,938.16,739,722
2024-12-20,50.78,644,864
2024-05-31,55.86,864,943
2024-12-05,61.45,943,457
2024-06-17,67.6,457,615
2024-12-18,74.36,615,644
2024-07-17,248.14,277,243
2024-11-27,272.95,243,551
2024-07-17,245.66,551,488
2024-09-26,221.09,488,897
2024-11-04,243.2,897,277
2024-05-22,56.57,363,921
2024-02-26,62.23,921,743
2024-06-01,68.45,743,315
2024-11-06,75.3,315,812
2024-04-12,67.77,812,363
2024-07-25,887.7,372,808
2024-03-21,976.47,808,543
2024-04-03,1074.12,543,550
2024-01-18,1181.53,550,758
2024-11-10,1299.68,758,372
2024-02-21,574.01,605,854
2024-01-26,631.41,854,374
2024-07-21,568.27,374,770
2024-05-23,511.44,770,141
2024-03-14,562.58,141,605
2024-12-30,779.11,439,678
2024-10-31,701.2,678,896
2024-06-05,631.08,896,53
2024-06-07,694.19,53,420
2024-11-25,624.77,420,439
2024-08-07,251.94,921,171
2024-08-17,277.13,171,447
2024-12-28,304.84,447,744
2024-11-09,335.32,744,874
2024-01-12,368.85,874,921
2024-06-27,842.6,838,870
2024-09-14,758.34,870,383
2024-11-22,682.51,383,504
2024-09-03,750.76,504,846
2024-02-08,675.68,846,838
2024-12-23,852.61,89,42
2024-12-15,937.87,42,103
2024-09-19,844.08,103,175
2024-11-21,928.49,175,139
2024-05-21,835.64,139,89
2024-11-10,690.28,943,135
2024-10-19,759.31,135,247
2024-11-09,835.24,247,479
2024-11-03,751.72,479,659
2024-08-24,826.89,659,943
2024-05-12,749.56,982,700
2024-04-03,674.6,700,848
2024-11-28,742.06,848,7
2024-07-22,667.85,7,335
2024-02-13,734.64,335,982
2024-07-29,140.88,8,636
2024-11-21,126.79,636,151
2024-11-08,139.47,151,894
2024-02-25,153.42,894,66
2024-12-16,168.76,66,8
2024-05-28,492.81,111,502
2024-06-15,443.53,502,188
2024-05-24,399.18,188,460
2024-09-01,439.1,460,107
2024-09-07,483.01,107,111
2024-11-20,533.14,966,466
2024-05-26,479.83,466,656
2024-10-17,431.85,656,334
2024-05-20,475.04,334,299
2024-03-13,427.54,299,966
2024-03-09,519.05,605,473
2024-07-17,467.14,473,984
2024-03-21,420.43,984,321
2024-08-22,378.39,321,288
2024-03-08,340.55,288,605
2024-08-03,223.42,96,921
2024-09-30,201.08,921,678
2024-02-28,180.97,678,459
2024-05-12,199.07,459,569
2024-01-26,179.16,569,96
2024-10-23,393.17,382,532
2024-08-01,353.85,532,348
2024-07-01,318.47,348,494
2024-04-26,286.62,494,277
2024-10-30,257.96,277,382
2024-06-27,884.53,93,822
2024-10-29,796.08,822,98
2024-10-29,875.69,98,780
2024-08-17,963.26,780,11
2024-09-07,1059.59,11,93
2024-01-12,748.53,510,571
2024-10-05,673.68,571,691
2024-01-16,741.05,691,994
2024-03-29,815.15,994,632
2024-11-13,896.67,632,510
2024-04-01,784.96,67,531
2024-09-10,706.46,531,385
2024-03-15,777.11,385,728
2024-07-05,854.82,728,927
2024-05-29,940.3,927,67
2024-09-15,760.85,346,347
2024-08-27,684.76,347,698
2024-04-07,753.24,698,552
2024-10-04,828.56,552,994
2024-02-18,911.42,994,346
2024-08-15,283.73,659,171
2024-10-23,255.36,171,904
2024-08-25,280.9,904,428
2024-12-26,252.81,428,996
2024-01-04,278.09,996,659
2024-12-19,858.74,334,163
2024-09-10,944.61,163,232
2024-06-14,850.15,232,19
2024-05-22,765.13,19,466
2024-10-22,688.62,466,334
2024-04-07,172.02,197,115
2024-01-30,189.22,115,278
2024-06-21,208.14,278,450
2024-08-07,187.33,450,142
2024-10-25,206.06,142,197
2024-03-11,47.4,650,84
2024-02-27,52.14,84,42
2024-07-12,57.35,42,184
2024-07-15,63.09,184,752
2024-06-01,56.78,752,650
2024-09-18,227.65,10,910
2024-04-29,204.89,910,843
2024-08-13,225.38,843,413
2024-06-08,202.84,413,602
2024-02-26,182.56,602,10
2024-10-09,768.47,137,372
2024-07-08,691.62,372,786
2024-10-05,622.46,786,711
2024-12-29,560.21,711,287
2024-01-25,504.19,287,137
2024-05-23,255.31,717,824
2024-08-05,280.84,824,526
2024-07-29,308.92,526,597
2024-08-02,278.03,597,148
2024-08-31,305.83,148,717
2024-05-24,860.26,992,368
2024-10-10,946.29,368,584
2024-07-06,1040.92,584,809
2024-10-27,936.83,809,877
2024-12-19,1030.51,877,992
2024-03-03,14.84,611,74
2024-04-12,13.36,74,196
2024-09-28,14.7,196,893
2024-01-11,13.23,893,114
2024-09-12,14.55,114,611
2024-04-18,688.71,77,850
2024-07-03,619.84,850,979
2024-10-13,557.86,979,659
2024-06-16,502.07,659,677
2024-11-10,451.86,677,77
2024-07-29,577.32,76,857
2024-11-16,635.05,857,646
2024-06-21,698.55,646,678
2024-12-21,628.69,678,303
2024-11-09,565.82,303,76
2024-01-19,1050.81,22,884
2024-07-09,945.73,884,734
2024-05-06,1040.3,734,132
2024-09-09,1144.33,132,668
2024-09-20,1258.76,668,22
2024-08-07,268.05,883,343
2024-11-23,294.86,343,123
2024-08-18,265.37,123,605
2024-08-13,291.91,605,401
2024-07-07,321.1,401,883
2024-08-15,942.12,1,825
2024-01-22,847.91,825,469
2024-04-24,763.12,469,888
2024-10-04,686.81,888,185
2024-08-08,618.13,185,1
2024-07-24,568.18,204,995
2024-04-27,625.0,995,812
2024-07-26,687.5,812,411
2024-05-07,618.75,411,203
2024-03-20,556.88,203,204
2024-04-11,887.04,372,153
2024-08-02,975.74,153,435
2024-02-21,878.17,435,592
2024-04-03,790.35,592,573
2024-12-06,711.32,573,372
2024-08-24,40.18,916,376
2024-04-24,44.2,376,695
2024-10-30,39.78,695,976
2024-10-28,35.8,976,374
2024-02-19,39.38,374,916
2024-04-07,315.3,560,181
2024-02-28,283.77,181,360
2024-08-29,255.39,360,129
2024-08-05,280.93,129,43
2024-10-25,309.02,43,560
2024-01-25,274.1,559,820
2024-11-06,301.51,820,964
2024-09-21,331.66,964,447
2024-07-21,298.49,447,649
2024-09-14,268.64,649,559
2024-07-24,153.37,436,773
2024-08-29,138.03,773,672
2024-02-26,151.83,672,96
